label,text
1,"According to a recent OFSTED report, a school in Birmingham is still segregating girls and boys, despite a Hight Court ruling in 2017 that this is unlawful."
1,In Birmingham there is a school where girls and boys are separeted even if it isn't legal.
1,A school in Birningham is still separating girls from boys. This information come from a Ofsted report. A high court said in 2017 that this type of action is illegal.
1,The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!
1,Muslims grooming gangs are protected by the government and the police. This is a betrayal!
1,The police and the government are defending muslim gangs and they must be considered as traitors of our society.
1,Shocking. 2 men are murdered in Paris by having their throats cut by some savage shouting 'Allahu Akbar' and the BBC ignore the story. Another cover up.
1,"Is strange that BBC hadn't reported the murder of two men in Paris, they were killed by a Muslim shouting 'Allah Akbar'."
1,"The BBC is covering Muslims: in Paris there was an attack where 2 men were killed and the murderers shouted 'allahu akbar', but the BBC said nothing about this. Disgusting."
1,"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them."
1,"All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything."
1,"Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims."
1,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place."
1,I am done with Islam and isis. All Muslims should be sent to their homeland. Britain will be better without their violence and ideology.
1,"Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place."
1,Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'How can we be Islamophobic when they really do want to kill us'.
1,"Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'they want to eliminate us, we must be islamophobic'."
1,"Image (features protesters with signs such as 'behead those who insult islam') with a caption saying 'We are labelled as islamophobic but how can we be accused of such a thing, if all they want is to murder all of us?'."
1,"These 8 crooks are all Muslims and every one of their victims is Non-Muslim, white-British. Why do these criminals only target White British Non-Muslims?"
1,These 8 criminals are all Muslims because their victims are always white or Non-Muslim!
1,All crimes that has committed this muslim gang concerns white citizens of England. Only white british are targeted.
1,Don't the Moslem's Holy books say 'kill infidels wherever they may be hiding'.
1,Their sacred books command to kill the infidels.
1,Doesn't the Koran say: 'Murder all the non-Muslims wherever they hide'?
1,Muslims are the ones who invented the slave trade.
1,Muslims conceived the slave trade.
1,Muslims are the creators of slave trade.
1,"Islam is not a religion, its just an excuse for retarded sexual psychopaths, bastards who pollute the world."
1,"Muslims are staining the world, they are sexual maniacs with psychopathic tendencies. They use their religion as an excuse!"
1,"Islam is not a faith, it is a motivation for stupid sexual disturbed persons and for criminals who contaminate the world."
1,"Islam is a cult and not a religion. They rape children, enslave and murder people, attack our values, and there is nothing good about it. It is incompatible with our way of life."
1,"Islamic are criminals: they rape, enslave and murder people. Islam is more a worship than a religion and we do not have anything to share with them."
