,label,text,dataset
0,1,barryswallows Merkel would never say NO,hate_1_prepped.csv
1,1,"PostApocalypticHero Expect more and more women to be asking .. ""why are men no longer interested in me""! We're not going touch you until you pull our pants down!",hate_1_prepped.csv
2,0,"californiamojo Groping people in public wasn't already illegal? What's up with that, Deutschland?",hate_1_prepped.csv
3,1,"MikeSte Merkel, possible the only person in charge who is worse than what we have. Obama is trying his hardest though to get to Merkel's level. ""A 21-year-old Iraqi man was convicted of sexual assault and given a one-year suspended sentence. A 26-year-old Algerian man was convicted of abetting a sexual assault and attempted assault, and given the same sentence."" Sounds exactly like how Obama is trying to let all of the black people in this country get away with everything. ",hate_1_prepped.csv
4,1,"scientist They know very well, no means NO! They need to pass a law making it legal to castrate those animals.",hate_1_prepped.csv
5,1,AllaGranovskaya look like merkel just want to get laid,hate_1_prepped.csv
6,1,"ElCampeador "" but criticized two measures in the bill that could see people who aren't directly involved in the assault punished and foreigners deported for sexual harassment"" Sounds like some German Legislators have the same mental disease the Democrats and Republicans who opposed Kate's Law had. Deporting people who are not citizens for acting like savages - how cruel!! (sarcasm)",hate_1_prepped.csv
7,0,"JoeSnow She said ""GO"", not ""NO"" ~ ~ Slime ball Lawyers everywhere.",hate_1_prepped.csv
8,1,"woetothegutless So, how many sexual assaults would there be if Muslims were burned in ovens?",hate_1_prepped.csv
9,1,4armshiver @woetothegutless Probably a lot less. What's your point?,hate_1_prepped.csv
10,1,"Kenyantraitor In true liberal fashion, an ordinance that no means no, was passed. That will end all rapes by muslimes in Fatherland. ",hate_1_prepped.csv
11,1,4armshiver The Russians raped millions of German women and children at the end of WWII. Now the German people have to contend with this bunch of savages? How pathetic is it that a country has to cow-tow to a hoard of uncivilized migrants. Take your country back Germany. ,hate_1_prepped.csv
12,1,"JoeSnow @4armshiver Great, now lets have a talk with Africa.",hate_1_prepped.csv
13,1,"TheNutz Imagine that, Muslims are the problem...?",hate_1_prepped.csv
14,0,EdLowery A one-year suspended sentence? Wow. That's really harsh.,hate_1_prepped.csv
15,0,DAB123 Even though the woman was lying about the whole thing....LOL,hate_1_prepped.csv
16,0,Danica70 @DAB123 You mean all 50?,hate_1_prepped.csv
17,1,"justthetruthnobodywantstohear This will work great, just like the bracelets they handed out that said don't touch me. Liebrals will never learn. hahahahahahaha",hate_1_prepped.csv
18,1,"Adler Just say ""No."" Yeah that'll stop those nasty rapists, especially the Muslims. ",hate_1_prepped.csv
19,1,"quickfix How does one say ""NO"" in Arabic ?",hate_1_prepped.csv
20,1,"ShadowSapper @quickfix No idea, but an M16A4 will translate any language into Arabic.",hate_1_prepped.csv
21,1,davidfair @quickfix GLOCK ,hate_1_prepped.csv
